Prolific_ID Age_Group Memory_Method Ceiling_Floor lists_completed Baseline_Recall_Accuracy_Strict Post_Recall_Accuracy_Strict Average_NO_Score Average_SA_Score Average_DE_Score
66594d5f6f9e287fef4cde8a 1 2 0 6 0.333333333333333 0.8 4.54545454545455 3.625 4
616d5c54f2953f6447f27402 2 1 0 2 0.2 0.55 4.54545454545455 5.375 4.66666666666667
6a184212ea66f7cc4204ee31 1 2 0 6 0.633333333333333 0.95 5.72727272727273 6 4.66666666666667
6a185c04c82a0d22d92f2b1f 1 1 0 6 0.766666666666667 0.716666666666667 2.36363636363636 3.75 1
68b5be2b961ac6e6bfa19c6c 2 1 0 6 0.2 0.216666666666667 2.54545454545455 5.75 3.33333333333333
674620795259ea182ac1e2b5 1 2 0 6 0.4 0.316666666666667 5.09090909090909 3.625 2.66666666666667
69ecd68f61369e280e76b497 2 1 0 6 0.633333333333333 0.383333333333333 3.36363636363636 4 2.33333333333333
5ea8c40504081a31ebd22b41 2 2 0 6 0.266666666666667 0.15 2.90909090909091 5 3
5d62e42406ed5a001a2084f3 2 1 0 6 0.366666666666667 0.433333333333333 2 5.5 1.33333333333333
636d39168fe0bc0570ee8da0 2 2 0 6 0.4 0.783333333333333 5.72727272727273 2.75 4.66666666666667
6a04f05bb83e0910807df997 1 1 0 6 0.3 0.216666666666667 5.72727272727273 3.875 5.66666666666667
5b5f15f2fc072a00017da73d 2 2 0 6 0.2 0.6 2.90909090909091 2.125 2.33333333333333
671538a99972f78921900da7 1 2 0 3 0.6 0.433333333333333 5.54545454545455 3.75 4.33333333333333
5967e9a831394d0001abdb3f 2 2 0 6 0.266666666666667 0.733333333333333 6.18181818181818 2.5 5.33333333333333
5dd2d8126ac608000a330132 2 1 1 6 0.0666666666666667 0.0666666666666667 3.90909090909091 3.375 4.66666666666667
669eba3ad8d7d49177bc50d0 2 1 1 6 0.2 0.0333333333333333 6 2.625 6
60a2df32808ac76c056b37b9 1 1 0 5 0.666666666666667 1 3.27272727272727 6.625 3.66666666666667
6a257644b3e4fe73a4373ed8 1 1 0 5 0.3 0.98 4.90909090909091 5.5 6.66666666666667
54b2d430fdf99b0157256e35 2 2 0 6 0.1 0.133333333333333 5.63636363636364 4.625 3.66666666666667
69ee555663a0d17a911f0480 2 1 0 6 0.0666666666666667 0.233333333333333 5.36363636363636 4.625 5.66666666666667
60c0fa09ef735c52ada64d23 1 2 0 5 0.1 0.58 3.36363636363636 5.25 1.33333333333333
5f356b8d0535c7518ca3eee9 2 2 0 6 0.3 0.416666666666667 3.63636363636364 5.375 2
69ef6b88645f92357bab5ffd 1 1 0 6 0.3 0.1 6.72727272727273 1.875 6.66666666666667
60b7e1bcfe148de04d17624b 1 2 0 6 0.533333333333333 0.316666666666667 4.09090909090909 6.125 1.66666666666667
65e34dc68fd27ef021587c79 2 2 0 2 0.433333333333333 0.1 5.27272727272727 4 4.66666666666667
55ac3198fdf99b6de3b68b23 2 2 0 6 0.533333333333333 0.45 4.72727272727273 3.75 4
66082020eb7b1780ba30a46f 2 1 0 6 0.366666666666667 0.8 4 3.875 3.33333333333333
69d7dade6f4c60787ae5163a 1 2 0 4 0.266666666666667 0.625 4.45454545454545 5.75 3.33333333333333
60d35fa71e56e17e064c2c1e 1 2 0 6 0.266666666666667 0.383333333333333 5 2.75 5
66646364b821e70655b52218 2 2 0 6 0.166666666666667 0.466666666666667 3.63636363636364 4.375 4.66666666666667
5fbc110869611208d6fd29da 2 1 0 6 0.333333333333333 0.333333333333333 3.90909090909091 4.125 3.66666666666667
6a16a850d2171801a188dc1c 1 2 0 1 0.666666666666667 1 6.45454545454545 5.875 5
6a11344dfa807a229abd5f83 1 1 0 6 0.566666666666667 0.85 5 5 4
67dd4210d92f4c3aac8d944c 1 1 0 6 0.666666666666667 1 2.81818181818182 3.75 4.33333333333333
69dfa52b9927e3bcdf96c3da 1 2 1 6 0.0666666666666667 0.0333333333333333 2.63636363636364 6.625 1.33333333333333
6a021aa7f5a2e40225dd840f 1 1 0 6 0.966666666666667 0.783333333333333 5.18181818181818 4.625 4.66666666666667
63d007388da4ef5b301762f9 1 1 0 6 0.4 0.833333333333333 4.72727272727273 4.25 3.33333333333333
6a00b4ed3cd71b1ae582fbdf 1 2 0 6 0.2 0.216666666666667 4.72727272727273 4.25 3.66666666666667
69fc8ff6e44e316aab8e5b47 1 1 0 5 0.4 0.96 2.63636363636364 4.75 2
67dac9fec33b7784afd3d08b 2 2 1 5 0.866666666666667 1 6.36363636363636 1.625 4.66666666666667
64137d0dfe71cf6624348d27 2 1 0 6 0.1 0.3 4.72727272727273 5 3.33333333333333
69f3aee6954f6759dcb176b0 1 2 0 6 0.733333333333333 0.916666666666667 5.90909090909091 4.25 4
6a021dc98c730b8d3ce0deca 2 1 0 6 0.233333333333333 0.333333333333333 4.63636363636364 4.125 4.33333333333333
69cc529efbf48110b4172c49 2 1 0 6 0.5 0.9 4.81818181818182 6.625 4.33333333333333
69b43b9d76ee607f164315ec 2 1 0 6 0.366666666666667 0.766666666666667 3.36363636363636 5.25 2.66666666666667
5f50732850c7c600098593df 1 2 0 6 0.166666666666667 0.4 5.45454545454545 4.375 2.66666666666667
5c476621b521ee00019abf67 2 2 0 6 0.266666666666667 0.0833333333333333 3.63636363636364 5.5 2.33333333333333
69f942a2d9efe806554c2dd0 1 2 1 3 1 1 4.27272727272727 4.875 4
66fdadbaa3ff5e732278ad0e 2 1 0 6 0.433333333333333 0.366666666666667 5.36363636363636 1.625 5.33333333333333
6538129b881209799ea3e6ae 1 1 0 6 0.566666666666667 0.583333333333333 5 4 4
6a18f9512000c63ba8a16eac 1 2 0 6 0.466666666666667 0.966666666666667 4.90909090909091 2.875 2.33333333333333
5d268981c22768000166c7c7 1 2 0 6 0.333333333333333 0.0833333333333333 2.54545454545455 5.875 1
69696bb2c59c3d28f1d2e44c 1 1 0 6 0.3 0.55 5 4.75 4
69dd5e44584ce4ee8f0ee0b0 1 1 1 6 0.966666666666667 0.966666666666667 4.36363636363636 5.125 2.66666666666667
69a9ce9ea905d441b1303af6 2 2 0 6 0.566666666666667 0.766666666666667 4.81818181818182 2.625 4
67cb1d4032b7920d12369a3b 2 1 0 6 0.566666666666667 0.5 4 3.875 4.66666666666667
6997ace35f7613bf9c48fa5d 1 2 0 4 0.133333333333333 0.65 4.18181818181818 5.625 3.66666666666667
6a15a8f478abb7b087750295 1 2 0 6 1 0.716666666666667 5 4.375 3.33333333333333
6a075e55784033474e8fdf0b 2 1 0 6 0.566666666666667 0.216666666666667 6.09090909090909 3.125 5.33333333333333
654e3bc4ab04fd4a9ae4afb4 1 1 0 6 0.166666666666667 0.75 2.90909090909091 3.875 1
69c825ba5f18a9e4b91ae8f4 1 1 0 6 0.566666666666667 0.8 4.81818181818182 2.5 3
67f1626e4525cfea0f0a9753 1 2 0 3 0.1 0.3 5 3.375 4
69dd3f766d31a70f470be202 2 2 0 6 0.766666666666667 0.716666666666667 7 1.75 7
67d94f701307ac0887c44909 1 2 1 2 1 1 5 5.5 6
6a01e10af89d6467db5fd936 1 2 0 6 0.2 0.6 4.36363636363636 4.875 4.33333333333333
69e97bee86f066200124e028 1 2 0 6 0.266666666666667 0.716666666666667 5.90909090909091 3 4
6a021584fe40046647c490e8 1 2 0 6 0.266666666666667 0.433333333333333 5.27272727272727 4.125 4.33333333333333
69aae063e513f5518031a19e 1 1 0 6 0.666666666666667 0 4.45454545454545 5.125 2
69ff6704ddee393f6c806f3a 1 2 1 6 0.9 0.95 5.81818181818182 5.875 5
6a07946e7937cbab7e5486d1 1 2 1 6 0.9 1 4.36363636363636 4.75 3.66666666666667
5d48fbe4fb0ce000010502c5 1 1 0 6 0.7 0.8 5.27272727272727 4.25 5
69c9de370243c51e405a3273 1 1 0 6 0.733333333333333 0.95 4.81818181818182 2.875 2.66666666666667
598e325033481c000164d2aa 2 1 1 6 0.9 0.966666666666667 6.63636363636364 2.375 5.66666666666667
69d7d67fd30867b10fb7e5b5 1 2 0 6 0.4 0.9 3.54545454545455 5 1
6a0e2d716e90edf1ea83dce1 2 1 0 6 0.1 0.85 3.54545454545455 6 1.33333333333333
6a15f3c9d58fe00859cee061 2 1 0 6 0.233333333333333 0.15 3.63636363636364 2.875 3.66666666666667
69ea981ac8b9558cf0aeadf6 2 1 0 6 0.266666666666667 0.783333333333333 3.54545454545455 5.25 2.33333333333333
69f3d6d8eb967f2d8711bfe3 1 2 0 6 0.433333333333333 0.916666666666667 4.63636363636364 4.375 2.66666666666667
6a206093b7c9d0a730d897a9 2 2 0 6 0.566666666666667 0.75 5.90909090909091 3 4
5e9c8deb90dd470441c7f98e 2 1 1 6 0.233333333333333 0.0166666666666667 4.09090909090909 4.5 3
62a74fec726aac54b9e43d75 2 1 0 4 0.1 0.675 5.18181818181818 3.75 4.33333333333333
69c2c1380709a1555a38b3b9 1 2 0 4 0.666666666666667 1 4.72727272727273 3.75 4
